OBJECTID,CODE,TYPELOCAL,NOM,SERV_ECOLE,SERV_POSTE,SERV_DOUAN,SERV_GENDA,SERV_HOPIT,SERV_INFR_,SERV_MUSUL,SERV_CHRET,SERV_CHAT_,SERV_PT_EA,SERV_ANT_H,SERV_EOLIE,SERV_PUITS,THEME,PAYS,IDUU,longitude,latitude
"359","4600040","3",Guinguinéo,"1","1","1","1","0","1","1","1","1","0","1","0","0",LA,SN,c666e20d-4031-4e6f-a02e-3139de90e702,398270.0000000,1577823.0000000
"360","4600060","6",Thiadiaye,"1","1","0","0","0","1","1","1","0","0","1","0","0",LA,SN,e0718d7b-75e2-4799-99bf-8b1b4afca05a,316868.0000000,1594832.0000000
"361","4600060","6",Nguékhokh,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,d1d5c4cb-1e10-4901-81e0-d3d42d6f8af8,283975.0000000,1605268.0000000
"362","4600060","6",Bargny,"1","1","0","0","0","1","1","0","1","0","0","0","0",LA,SN,e80e0df2-d583-40fb-a95a-13973c20065a,259801.0000000,1626059.0000000
"363","4600060","6",Diamniadio,"1","0","0","1","0","1","1","0","0","0","1","0","0",LA,SN,1ead01e3-0ae6-40e6-8905-cbb3d917813e,265337.0000000,1628668.0000000
"364","4600060","6",Sébikhotane,"1","0","0","0","0","1","1","1","0","1","1","0","0",LA,SN,db2a1521-d318-4dac-8675-70704a8c0017,270196.0000000,1631226.0000000
"365","4600060","6",Khombole,"1","1","0","1","0","1","1","1","0","0","0","0","0",LA,SN,784ea5c0-d0d2-4dc7-9408-f198a1da66f5,317863.0000000,1632755.0000000
"366","4600060","6",Pout,"1","0","0","0","0","1","1","1","0","0","1","0","0",LA,SN,221e9f04-d23a-4dad-a220-58ca014d033d,278046.0000000,1633854.0000000
"367","4600060","6",Kayar,"1","0","0","1","0","1","1","0","1","0","0","0","0",LA,SN,8ee52fd5-e039-4330-9b1b-a293f6b8d82a,271781.0000000,1650408.0000000
"368","4600060","6",Diawara,"1","0","0","1","0","1","1","0","1","0","0","0","0",LA,SN,c9480721-2801-4473-aedc-41f87124f3d7,764071.0000000,1662262.0000000
